"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"C1,C2,C3,C4,C5,C6,C7","1u","~","000_LOCAL:C_0805","7","","CL21B105KBFNNNG"
"J2","Altera JTAG-A+VPP","datasheets/JTAG-A.pdf","000_LOCAL:IDC-Header_2x05_P2.54mm pcb-edge","1","","302-S101"
"LED1","GREEN","datasheets/B1701.pdf","000_LOCAL:LED_0805","1","","B1701NG--20D000314U1930"
"LED2","AMBER","datasheets/B1701.pdf","000_LOCAL:LED_0805","1","","B1701UY--20D000214U1930"
"LED3","RED","datasheets/B1701.pdf","000_LOCAL:LED_0805","1","","B1701USD-20D000114U1930"
"R1","2k2","~","000_LOCAL:R_0805","1","","ERJ-6GEYJ222V"
"R2,R3,R4","10k","~","000_LOCAL:R_0805","3","","ERJ-6GEYJ103V"
"R5,R6,R7,R8","33","~","000_LOCAL:R_0805","4","","ERJ-6GEYJ330V"
"SW1","SP3T","datasheets/cus.pdf","000_LOCAL:CUS-13B pth","1","","CUS-13TB"
"SW2","SPDT","datasheets/cus.pdf","000_LOCAL:CUS-12B pth","1","","CUS-12TB"
"U1","MAX662A","datasheets/MAX662A.pdf","000_LOCAL:SOIC-8","1","","MAX662ACSA+T"
